Uid,FrameId,FrameType,PacketIndex,TotalPackets,TxApp,TxMac,TxPhy,RxPhy,RxApp,LatencyApp,LatencyPhy,Tid,Ac,IsAmpdu,AmpduRef
5467,210,1,24,30,9.94024,0,0,0,0,-9940,0,0,0,0,0
5466,210,1,23,30,9.94023,0,0,0,0,-9940,0,0,0,0,0
5465,210,1,22,30,9.94022,0,0,0,0,-9940,0,0,0,0,0
5464,210,1,21,30,9.94021,0,0,0,0,-9940,0,0,0,0,0
5463,210,1,20,30,9.9402,0,0,0,0,-9940,0,0,0,0,0
5462,210,1,19,30,9.94019,0,0,0,0,-9940,0,0,0,0,0
5461,210,1,18,30,9.94018,0,0,0,0,-9940,0,0,0,0,0
5460,210,1,17,30,9.94017,0,0,0,0,-9940,0,0,0,0,0
5459,210,1,16,30,9.94016,0,0,0,0,-9940,0,0,0,0,0
5458,210,1,15,30,9.94015,0,0,0,0,-9940,0,0,0,0,0
5457,210,1,14,30,9.94014,0,0,0,0,-9940,0,0,0,0,0
5456,210,1,13,30,9.94013,0,0,0,0,-9940,0,0,0,0,0
5455,210,1,12,30,9.94012,0,0,0,0,-9940,0,0,0,0,0
5454,210,1,11,30,9.94011,0,0,0,0,-9940,0,0,0,0,0
5453,210,1,10,30,9.9401,0,0,0,0,-9940,0,0,0,0,0
5452,210,1,9,30,9.94009,0,0,0,0,-9940,0,0,0,0,0
5451,210,1,8,30,9.94008,0,0,0,0,-9940,0,0,0,0,0
5450,210,1,7,30,9.94007,0,0,0,0,-9940,0,0,0,0,0
5449,210,1,6,30,9.94006,0,0,0,0,-9940,0,0,0,0,0
5448,210,1,5,30,9.94005,0,0,0,0,-9940,0,0,0,0,0
5447,210,1,4,30,9.94004,0,0,0,0,-9940,0,0,0,0,0
5446,210,1,3,30,9.94003,0,0,0,0,-9940,0,0,0,0,0
5445,210,1,2,30,9.94002,0,0,0,0,-9940,0,0,0,0,0
5444,210,1,1,30,9.94001,0,0,0,0,-9940,0,0,0,0,0
